set,i,instance,n,d,floor,strategy,best_rho,gap,n_eval,wall,budget
planted,18,planted64[18],64,4,3.464102,family,3.09506,-0.369042,2000,0.719,2000
planted,18,planted64[18],64,4,3.464102,randcon,3.226793,-0.237309,2000,0.538,2000
planted,18,planted64[18],64,4,3.464102,random,3.216487,-0.247615,2000,0.404,2000
planted,18,planted64[18],64,4,3.464102,anneal,3.162641,-0.30146,2000,0.376,2000
planted,18,planted64[18],64,4,3.464102,tabu,3.074802,-0.389299,2000,0.36,2000
planted,19,planted64[19],64,4,3.464102,family,3.113119,-0.350982,2000,0.604,2000
planted,19,planted64[19],64,4,3.464102,randcon,3.21342,-0.250682,2000,0.531,2000
planted,19,planted64[19],64,4,3.464102,random,3.212924,-0.251178,2000,0.4,2000
planted,19,planted64[19],64,4,3.464102,anneal,3.148217,-0.315885,2000,0.375,2000
planted,19,planted64[19],64,4,3.464102,tabu,3.108762,-0.35534,2000,0.371,2000
conditioned,0,conditioned64[0](c4=27),64,4,3.464102,family,3.133058,-0.331043,2000,0.606,2000
conditioned,0,conditioned64[0](c4=27),64,4,3.464102,randcon,3.225913,-0.238189,2000,0.506,2000
conditioned,0,conditioned64[0](c4=27),64,4,3.464102,random,3.190907,-0.273194,2000,0.389,2000
conditioned,0,conditioned64[0](c4=27),64,4,3.464102,anneal,3.199293,-0.264808,2000,0.369,2000
conditioned,0,conditioned64[0](c4=27),64,4,3.464102,tabu,3.120278,-0.343823,2000,0.425,2000
conditioned,1,conditioned64[1](c4=26),64,4,3.464102,family,3.104176,-0.359925,2000,0.69,2000
conditioned,1,conditioned64[1](c4=26),64,4,3.464102,randcon,3.221941,-0.24216,2000,0.557,2000
conditioned,1,conditioned64[1](c4=26),64,4,3.464102,random,3.212897,-0.251204,2000,0.42,2000
conditioned,1,conditioned64[1](c4=26),64,4,3.464102,anneal,3.157904,-0.306198,2000,0.392,2000
conditioned,1,conditioned64[1](c4=26),64,4,3.464102,tabu,3.092203,-0.371898,2000,0.364,2000
conditioned,2,conditioned64[2](c4=26),64,4,3.464102,family,3.121908,-0.342194,2000,0.596,2000
conditioned,2,conditioned64[2](c4=26),64,4,3.464102,randcon,3.239254,-0.224848,2000,0.535,2000
conditioned,2,conditioned64[2](c4=26),64,4,3.464102,random,3.23668,-0.227422,2000,0.402,2000
conditioned,2,conditioned64[2](c4=26),64,4,3.464102,anneal,3.16303,-0.301072,2000,0.396,2000
conditioned,2,conditioned64[2](c4=26),64,4,3.464102,tabu,3.184718,-0.279384,2000,0.385,2000
conditioned,3,conditioned64[3](c4=26),64,4,3.464102,family,3.131621,-0.332481,2000,0.62,2000
conditioned,3,conditioned64[3](c4=26),64,4,3.464102,randcon,3.242462,-0.22164,2000,0.556,2000
conditioned,3,conditioned64[3](c4=26),64,4,3.464102,random,3.231798,-0.232304,2000,0.427,2000
conditioned,3,conditioned64[3](c4=26),64,4,3.464102,anneal,3.180489,-0.283613,2000,0.394,2000
conditioned,3,conditioned64[3](c4=26),64,4,3.464102,tabu,3.129579,-0.334522,2000,0.371,2000
conditioned,4,conditioned64[4](c4=26),64,4,3.464102,family,3.126575,-0.337526,2000,0.606,2000
conditioned,4,conditioned64[4](c4=26),64,4,3.464102,randcon,3.233452,-0.23065,2000,0.542,2000
conditioned,4,conditioned64[4](c4=26),64,4,3.464102,random,3.207543,-0.256558,2000,0.4,2000
conditioned,4,conditioned64[4](c4=26),64,4,3.464102,anneal,3.17328,-0.290822,2000,0.38,2000
conditioned,4,conditioned64[4](c4=26),64,4,3.464102,tabu,3.10259,-0.361511,2000,0.371,2000
conditioned,5,conditioned64[5](c4=27),64,4,3.464102,family,3.127423,-0.336679,2000,0.606,2000
conditioned,5,conditioned64[5](c4=27),64,4,3.464102,randcon,3.228227,-0.235874,2000,0.539,2000
conditioned,5,conditioned64[5](c4=27),64,4,3.464102,random,3.211758,-0.252343,2000,0.408,2000
conditioned,5,conditioned64[5](c4=27),64,4,3.464102,anneal,3.186413,-0.277689,2000,0.42,2000
conditioned,5,conditioned64[5](c4=27),64,4,3.464102,tabu,3.163531,-0.30057,2000,0.384,2000
conditioned,6,conditioned64[6](c4=26),64,4,3.464102,family,3.135404,-0.328698,2000,0.603,2000
conditioned,6,conditioned64[6](c4=26),64,4,3.464102,randcon,3.249142,-0.21496,2000,0.575,2000
conditioned,6,conditioned64[6](c4=26),64,4,3.464102,random,3.234666,-0.229436,2000,0.42,2000
conditioned,6,conditioned64[6](c4=26),64,4,3.464102,anneal,3.22761,-0.236491,2000,0.408,2000
conditioned,6,conditioned64[6](c4=26),64,4,3.464102,tabu,3.125222,-0.33888,2000,0.382,2000
conditioned,7,conditioned64[7](c4=26),64,4,3.464102,family,3.128386,-0.335716,2000,0.671,2000
conditioned,7,conditioned64[7](c4=26),64,4,3.464102,randcon,3.229545,-0.234557,2000,0.574,2000
conditioned,7,conditioned64[7](c4=26),64,4,3.464102,random,3.209545,-0.254557,2000,0.438,2000
conditioned,7,conditioned64[7](c4=26),64,4,3.464102,anneal,3.179613,-0.284489,2000,0.435,2000
conditioned,7,conditioned64[7](c4=26),64,4,3.464102,tabu,3.164404,-0.299698,2000,0.383,2000
conditioned,8,conditioned64[8](c4=26),64,4,3.464102,family,3.111466,-0.352636,2000,0.6,2000
conditioned,8,conditioned64[8](c4=26),64,4,3.464102,randcon,3.169711,-0.294391,2000,0.523,2000
conditioned,8,conditioned64[8](c4=26),64,4,3.464102,random,3.21252,-0.251582,2000,0.414,2000
conditioned,8,conditioned64[8](c4=26),64,4,3.464102,anneal,3.140862,-0.32324,2000,0.379,2000
conditioned,8,conditioned64[8](c4=26),64,4,3.464102,tabu,3.083056,-0.381045,2000,0.367,2000
conditioned,9,conditioned64[9](c4=26),64,4,3.464102,family,3.156484,-0.307618,2000,0.608,2000
conditioned,9,conditioned64[9](c4=26),64,4,3.464102,randcon,3.213223,-0.250879,2000,0.55,2000
conditioned,9,conditioned64[9](c4=26),64,4,3.464102,random,3.220553,-0.243549,2000,0.414,2000
conditioned,9,conditioned64[9](c4=26),64,4,3.464102,anneal,3.189131,-0.274971,2000,0.372,2000
conditioned,9,conditioned64[9](c4=26),64,4,3.464102,tabu,3.13244,-0.331662,2000,0.378,2000
conditioned,10,conditioned64[10](c4=26),64,4,3.464102,family,3.093791,-0.370311,2000,0.612,2000
conditioned,10,conditioned64[10](c4=26),64,4,3.464102,randcon,3.195511,-0.268591,2000,0.535,2000
conditioned,10,conditioned64[10](c4=26),64,4,3.464102,random,3.20796,-0.256142,2000,0.396,2000
conditioned,10,conditioned64[10](c4=26),64,4,3.464102,anneal,3.14826,-0.315842,2000,0.372,2000
conditioned,10,conditioned64[10](c4=26),64,4,3.464102,tabu,3.181683,-0.282418,2000,0.366,2000
conditioned,11,conditioned64[11](c4=27),64,4,3.464102,family,3.183094,-0.281007,2000,0.593,2000
conditioned,11,conditioned64[11](c4=27),64,4,3.464102,randcon,3.225435,-0.238667,2000,0.519,2000
conditioned,11,conditioned64[11](c4=27),64,4,3.464102,random,3.212838,-0.251263,2000,0.408,2000
